iter	Passed	Remaining
0	4	4408
1	8	4210
2	12	4151
3	16	4022
4	19	3943
5	23	3918
6	27	3914
7	31	3869
8	35	3868
9	38	3855
10	42	3823
11	46	3819
12	50	3810
13	54	3810
14	57	3793
15	61	3776
16	65	3778
17	69	3771
18	72	3763
19	76	3757
20	80	3761
21	84	3777
22	88	3775
23	91	3733
24	95	3727
25	99	3721
26	102	3710
27	106	3705
28	110	3688
29	114	3692
30	117	3687
31	121	3689
32	126	3695
33	130	3695
34	133	3694
35	138	3699
36	142	3700
37	146	3697
38	149	3694
39	153	3685
40	157	3676
41	161	3674
42	164	3668
43	168	3664
44	172	3664
45	176	3656
46	180	3651
47	184	3650
48	188	3649
49	191	3637
50	195	3634
51	198	3617
52	201	3605
53	205	3601
54	209	3598
55	213	3593
56	216	3576
57	220	3575
58	224	3573
59	228	3572
60	231	3566
61	235	3557
62	239	3557
63	243	3554
64	246	3546
65	250	3541
66	253	3534
67	257	3533
68	261	3524
69	264	3518
70	268	3514
71	271	3502
72	275	3499
73	279	3499
74	283	3495
75	286	3489
76	290	3484
77	294	3478
78	297	3470
79	301	3462
80	304	3453
81	308	3449
82	311	3441
83	315	3437
84	318	3429
85	322	3425
86	325	3418
87	329	3412
88	332	3404
89	336	3399
90	340	3397
91	343	3390
92	347	3385
93	350	3380
94	354	3377
95	357	3370
96	361	3365
97	365	3361
98	368	3356
99	372	3354
100	376	3348
101	380	3347
102	383	3342
103	387	3338
104	391	3333
105	393	3322
106	397	3318
107	401	3315
108	405	3312
109	408	3305
110	412	3301
111	415	3295
112	419	3291
113	422	3286
114	426	3283
115	430	3279
116	433	3274
117	437	3270
118	441	3267
119	444	3262
120	448	3257
121	451	3252
122	455	3246
123	458	3241
124	462	3238
125	466	3233
126	469	3229
127	473	3225
128	477	3221
129	480	3217
130	484	3214
131	487	3208
132	491	3204
133	495	3201
134	499	3197
135	502	3195
136	506	3190
137	510	3186
138	513	3180
139	516	3173
140	520	3169
141	524	3166
142	527	3163
143	531	3160
144	535	3155
145	538	3151
146	542	3147
147	546	3145
148	549	3140
149	553	3136
150	557	3133
151	561	3131
152	564	3126
153	568	3122
154	572	3119
155	574	3110
156	578	3107
157	582	3103
158	586	3100
159	589	3097
160	593	3092
161	597	3088
162	600	3084
163	604	3080
164	608	3076
165	611	3072
166	615	3068
167	618	3064
168	622	3058
169	625	3055
170	629	3051
171	632	3047
172	636	3042
173	639	3036
174	643	3033
175	646	3028
176	650	3023
177	653	3018
178	657	3015
179	660	3010
180	664	3008
181	668	3002
182	671	3000
183	675	2996
184	679	2991
185	683	2989
186	686	2985
187	690	2982
188	693	2977
189	697	2971
190	700	2968
191	704	2964
192	708	2960
193	711	2958
194	715	2955
195	719	2952
196	723	2947
197	726	2942
198	729	2937
199	733	2933
200	737	2929
201	740	2927
202	744	2923
203	748	2920
204	752	2916
205	755	2912
206	759	2908
207	762	2904
208	766	2901
209	770	2896
210	773	2892
211	777	2889
212	780	2884
213	784	2880
214	787	2877
215	791	2873
216	795	2870
217	799	2867
218	802	2863
219	806	2859
220	810	2855
221	813	2851
222	816	2845
223	820	2842
224	824	2838
225	827	2835
226	831	2830
227	834	2825
228	838	2822
229	842	2819
230	845	2816
231	849	2813
232	853	2810
233	857	2806
234	860	2802
235	864	2798
236	868	2795
237	872	2792
238	875	2788
239	879	2784
240	882	2780
241	886	2776
242	889	2772
243	893	2768
244	896	2763
245	900	2760
246	904	2756
247	907	2753
248	911	2749
249	915	2745
250	918	2741
251	922	2737
252	925	2733
253	929	2729
254	933	2726
255	936	2722
256	940	2718
257	943	2714
258	947	2711
259	951	2707
260	954	2702
261	958	2699
262	962	2695
263	965	2692
264	969	2688
265	973	2685
266	977	2683
267	981	2680
268	985	2677
269	988	2673
270	992	2669
271	996	2666
272	999	2660
273	1002	2656
274	1006	2653
275	1010	2650
276	1014	2648
277	1018	2644
278	1022	2641
279	1025	2637
280	1029	2633
281	1032	2630
282	1036	2626
283	1040	2623
284	1044	2619
285	1047	2614
286	1050	2610
287	1054	2606
288	1058	2603
289	1061	2598
290	1065	2594
291	1068	2591
292	1071	2585
293	1075	2582
294	1078	2578
295	1082	2575
296	1086	2571
297	1090	2567
298	1093	2563
299	1096	2559
300	1100	2556
301	1104	2553
302	1108	2549
303	1111	2545
304	1115	2541
305	1119	2538
306	1122	2534
307	1126	2530
308	1130	2527
309	1133	2524
310	1138	2521
311	1141	2518
312	1145	2514
313	1149	2511
314	1153	2508
315	1156	2504
316	1160	2500
317	1164	2497
318	1168	2493
319	1171	2489
320	1175	2485
321	1179	2482
322	1182	2478
323	1186	2475
324	1190	2471
325	1193	2467
326	1197	2464
327	1200	2460
328	1204	2457
329	1208	2454
330	1212	2450
331	1215	2446
332	1219	2442
333	1223	2439
334	1227	2436
335	1230	2432
336	1234	2429
337	1238	2425
338	1241	2421
339	1245	2418
340	1249	2414
341	1253	2410
342	1256	2407
343	1260	2403
344	1264	2400
345	1268	2397
346	1271	2392
347	1274	2388
348	1278	2385
349	1282	2381
350	1286	2378
351	1290	2374
352	1293	2371
353	1297	2367
354	1301	2364
355	1304	2360
356	1308	2356
357	1312	2352
358	1315	2349
359	1319	2345
360	1322	2341
361	1326	2337
362	1329	2333
363	1332	2328
364	1336	2324
365	1340	2321
366	1343	2317
367	1347	2314
368	1350	2310
369	1354	2306
370	1358	2302
371	1361	2298
372	1364	2293
373	1368	2290
374	1372	2286
375	1375	2283
376	1379	2279
377	1383	2276
378	1386	2272
379	1390	2268
380	1393	2263
381	1397	2260
382	1400	2256
383	1404	2252
384	1408	2249
385	1411	2244
386	1414	2241
387	1418	2237
388	1421	2233
389	1425	2229
390	1429	2226
391	1432	2222
392	1436	2218
393	1440	2214
394	1443	2211
395	1447	2207
396	1450	2203
397	1454	2199
398	1457	2195
399	1461	2192
400	1465	2188
401	1468	2184
402	1472	2180
403	1475	2176
404	1479	2173
405	1482	2169
406	1486	2165
407	1490	2161
408	1493	2158
409	1497	2154
410	1501	2151
411	1505	2147
412	1508	2144
413	1511	2139
414	1515	2136
415	1518	2132
416	1522	2128
417	1526	2125
418	1530	2121
419	1533	2118
420	1537	2114
421	1541	2110
422	1544	2107
423	1548	2103
424	1552	2100
425	1555	2095
426	1559	2092
427	1562	2088
428	1566	2084
429	1569	2080
430	1573	2076
431	1576	2072
432	1580	2069
433	1583	2065
434	1587	2061
435	1591	2058
436	1594	2054
437	1598	2050
438	1602	2047
439	1605	2043
440	1609	2039
441	1612	2036
442	1616	2032
443	1619	2028
444	1623	2024
445	1627	2021
446	1631	2017
447	1634	2014
448	1638	2010
449	1642	2007
450	1645	2003
451	1649	1999
452	1653	1996
453	1656	1992
454	1660	1989
455	1664	1985
456	1668	1982
457	1671	1978
458	1675	1975
459	1679	1971
460	1682	1967
461	1686	1963
462	1690	1960
463	1694	1956
464	1697	1952
465	1701	1949
466	1705	1945
467	1708	1942
468	1712	1938
469	1716	1935
470	1719	1931
471	1723	1927
472	1726	1923
473	1729	1919
474	1733	1916
475	1737	1912
476	1741	1909
477	1745	1906
478	1749	1902
479	1752	1898
480	1756	1895
481	1760	1891
482	1764	1888
483	1767	1884
484	1771	1880
485	1775	1877
486	1778	1873
487	1782	1870
488	1786	1866
489	1790	1863
490	1793	1859
491	1797	1855
492	1801	1852
493	1805	1849
494	1809	1845
495	1812	1842
496	1816	1838
497	1820	1835
498	1824	1831
499	1827	1827
500	1831	1824
501	1835	1820
502	1839	1817
503	1842	1813
504	1846	1809
505	1850	1806
506	1853	1802
507	1857	1799
508	1861	1795
509	1864	1791
510	1868	1788
511	1872	1784
512	1875	1780
513	1879	1776
514	1883	1773
515	1886	1769
516	1890	1765
517	1892	1761
518	1896	1757
519	1900	1754
520	1904	1750
521	1907	1746
522	1910	1742
523	1914	1739
524	1917	1735
525	1921	1731
526	1925	1728
527	1929	1724
528	1932	1720
529	1936	1716
530	1939	1713
531	1943	1709
532	1947	1705
533	1951	1702
534	1954	1699
535	1958	1695
536	1962	1692
537	1966	1688
538	1970	1685
539	1974	1681
540	1978	1678
541	1981	1674
542	1985	1671
543	1989	1667
544	1992	1663
545	1996	1659
546	1999	1656
547	2003	1652
548	2007	1648
549	2010	1645
550	2014	1641
551	2018	1638
552	2022	1635
553	2026	1631
554	2030	1627
555	2033	1624
556	2037	1620
557	2040	1616
558	2044	1612
559	2047	1608
560	2051	1605
561	2054	1601
562	2058	1597
563	2062	1594
564	2065	1590
565	2068	1586
566	2072	1582
567	2076	1579
568	2080	1575
569	2083	1571
570	2087	1568
571	2091	1565
572	2095	1561
573	2098	1557
574	2102	1554
575	2106	1550
576	2110	1546
577	2114	1543
578	2118	1540
579	2121	1536
580	2125	1533
581	2129	1529
582	2133	1526
583	2137	1522
584	2140	1518
585	2144	1515
586	2148	1511
587	2152	1508
588	2155	1504
589	2159	1500
590	2163	1496
591	2166	1493
592	2170	1489
593	2174	1486
594	2178	1482
595	2181	1478
596	2185	1475
597	2188	1471
598	2191	1467
599	2195	1463
600	2198	1459
601	2202	1455
602	2205	1452
603	2209	1448
604	2212	1444
605	2216	1440
606	2219	1437
607	2223	1433
608	2227	1429
609	2231	1426
610	2234	1422
611	2238	1419
612	2242	1415
613	2245	1411
614	2249	1407
615	2252	1404
616	2256	1400
617	2259	1396
618	2263	1393
619	2267	1389
620	2270	1385
621	2274	1382
622	2277	1378
623	2281	1374
624	2285	1371
625	2288	1367
626	2292	1363
627	2295	1359
628	2299	1356
629	2302	1352
630	2306	1348
631	2309	1344
632	2313	1341
633	2317	1337
634	2321	1334
635	2324	1330
636	2328	1326
637	2332	1323
638	2335	1319
639	2339	1315
640	2343	1312
641	2346	1308
642	2350	1305
643	2353	1301
644	2357	1297
645	2361	1293
646	2364	1290
647	2368	1286
648	2372	1282
649	2375	1279
650	2379	1275
651	2382	1271
652	2386	1268
653	2389	1264
654	2393	1260
655	2396	1256
656	2400	1253
657	2403	1249
658	2407	1245
659	2410	1241
660	2413	1237
661	2417	1234
662	2421	1230
663	2424	1226
664	2428	1223
665	2432	1219
666	2435	1216
667	2439	1212
668	2443	1209
669	2447	1205
670	2451	1201
671	2455	1198
672	2458	1194
673	2461	1190
674	2465	1187
675	2469	1183
676	2472	1179
677	2476	1176
678	2480	1172
679	2483	1168
680	2487	1165
681	2490	1161
682	2494	1157
683	2498	1154
684	2502	1150
685	2505	1147
686	2509	1143
687	2513	1139
688	2517	1136
689	2520	1132
690	2523	1128
691	2527	1124
692	2531	1121
693	2534	1117
694	2538	1113
695	2541	1110
696	2545	1106
697	2548	1102
698	2552	1099
699	2556	1095
700	2559	1091
701	2563	1088
702	2567	1084
703	2570	1080
704	2574	1077
705	2578	1073
706	2581	1069
707	2585	1066
708	2589	1062
709	2592	1059
710	2596	1055
711	2600	1051
712	2604	1048
713	2608	1044
714	2611	1041
715	2615	1037
716	2618	1033
717	2622	1030
718	2625	1026
719	2629	1022
720	2633	1018
721	2636	1015
722	2639	1011
723	2643	1007
724	2646	1004
725	2650	1000
726	2654	996
727	2657	993
728	2661	989
729	2665	985
730	2669	982
731	2672	978
732	2676	974
733	2679	971
734	2683	967
735	2686	963
736	2690	960
737	2694	956
738	2697	952
739	2701	949
740	2704	945
741	2708	941
742	2712	938
743	2715	934
744	2719	930
745	2723	927
746	2726	923
747	2730	919
748	2733	916
749	2737	912
750	2740	908
751	2744	905
752	2748	901
753	2751	897
754	2755	894
755	2759	890
756	2762	886
757	2765	883
758	2769	879
759	2772	875
760	2776	871
761	2779	868
762	2783	864
763	2787	861
764	2791	857
765	2794	853
766	2798	850
767	2802	846
768	2806	842
769	2810	839
770	2814	835
771	2817	832
772	2821	828
773	2825	824
774	2828	821
775	2832	817
776	2835	813
777	2839	810
778	2842	806
779	2846	802
780	2849	799
781	2853	795
782	2857	791
783	2860	788
784	2864	784
785	2867	780
786	2871	777
787	2874	773
788	2878	769
789	2882	766
790	2885	762
791	2889	758
792	2893	755
793	2896	751
794	2900	747
795	2904	744
796	2908	740
797	2911	737
798	2915	733
799	2919	729
800	2923	726
801	2927	722
802	2931	719
803	2935	715
804	2938	711
805	2942	708
806	2946	704
807	2950	701
808	2954	697
809	2958	693
810	2962	690
811	2966	686
812	2970	683
813	2974	679
814	2978	676
815	2982	672
816	2986	668
817	2989	665
818	2992	661
819	2996	657
820	2999	654
821	3003	650
822	3007	646
823	3011	643
824	3014	639
825	3018	635
826	3021	632
827	3025	628
828	3029	624
829	3033	621
830	3036	617
831	3040	613
832	3044	610
833	3048	606
834	3050	602
835	3054	599
836	3058	595
837	3062	591
838	3065	588
839	3069	584
840	3073	581
841	3077	577
842	3080	573
843	3083	570
844	3087	566
845	3091	562
846	3095	559
847	3098	555
848	3102	551
849	3106	548
850	3110	544
851	3113	540
852	3117	537
853	3121	533
854	3125	529
855	3128	526
856	3132	522
857	3136	519
858	3139	515
859	3143	511
860	3147	508
861	3150	504
862	3153	500
863	3156	496
864	3160	493
865	3163	489
866	3167	485
867	3170	482
868	3174	478
869	3177	474
870	3181	471
871	3185	467
872	3189	463
873	3192	460
874	3196	456
875	3199	452
876	3203	449
877	3207	445
878	3210	441
879	3214	438
880	3217	434
881	3221	431
882	3225	427
883	3228	423
884	3232	420
885	3236	416
886	3239	412
887	3243	409
888	3247	405
889	3250	401
890	3254	398
891	3257	394
892	3261	390
893	3264	387
894	3268	383
895	3272	379
896	3276	376
897	3279	372
898	3283	368
899	3287	365
900	3289	361
901	3293	357
902	3297	354
903	3300	350
904	3304	346
905	3308	343
906	3311	339
907	3315	335
908	3319	332
909	3323	328
910	3327	325
911	3331	321
912	3334	317
913	3338	314
914	3342	310
915	3346	306
916	3349	303
917	3353	299
918	3356	295
919	3360	292
920	3363	288
921	3366	284
922	3370	281
923	3374	277
924	3377	273
925	3381	270
926	3385	266
927	3389	262
928	3392	259
929	3396	255
930	3400	252
931	3404	248
932	3407	244
933	3411	241
934	3414	237
935	3417	233
936	3421	230
937	3424	226
938	3428	222
939	3432	219
940	3436	215
941	3439	211
942	3443	208
943	3447	204
944	3450	200
945	3454	197
946	3457	193
947	3461	189
948	3464	186
949	3468	182
950	3471	178
951	3475	175
952	3479	171
953	3482	167
954	3486	164
955	3489	160
956	3493	156
957	3497	153
958	3500	149
959	3504	146
960	3507	142
961	3511	138
962	3515	135
963	3518	131
964	3522	127
965	3526	124
966	3529	120
967	3532	116
968	3536	113
969	3540	109
970	3543	105
971	3547	102
972	3551	98
973	3554	94
974	3558	91
975	3561	87
976	3565	83
977	3569	80
978	3572	76
979	3576	72
980	3580	69
981	3583	65
982	3587	62
983	3591	58
984	3594	54
985	3597	51
986	3601	47
987	3605	43
988	3609	40
989	3613	36
990	3616	32
991	3620	29
992	3624	25
993	3628	21
994	3632	18
995	3635	14
996	3639	10
997	3643	7
998	3646	3
999	3650	0
